ID,Nome,Tamanho,Valor
1,Avirex,One Size,55.4802712865548
2,Tommy Hilfinger,M,43.1916127098685
3,Karen Kane,One Size,73.1618049080306
4,Bujo,One Size,77.0504894317363
5,Acorn Stores,L,29.4280283136424
6,Forever Lazy,S,64.1339021833306
7,SABA,L,61.5699880423816
8,Max Studio,M,47.6705928550431
9,Marchesa,M,61.7801423663181
10,Mataano,XXL,94.1421175031653
11,Forever Lazy,XXXL,55.1436498477793
12,SABA,S,82.6583773343164
13,Angels Jeanswear,XL,67.410036118892
14,Andrew Marc,L,50.3357509148008
15,Dollie & Me,S,15.0359100490044
16,Hamilton Shirts,XXL,88.4311997352313
17,Baby Gap,XXS,26.8350767017505
18,Mataano,XXS,56.3002429168207
19,Columbia Sportswear,One Size,82.8627790491389
20,Cross Colours,XS,79.954161604845
21,Guess,L,15.702655433073
22,TNT,XXS,64.0005954508673
23,C&A,M,26.062345200713
24,Hamilton Shirts,L,47.7354244863314
25,JNCO,One Size,44.2680206220914
26,Acorn Stores,L,16.4181605868126
27,Andrew Marc,S,47.8749749487615
28,Bujo,XL,47.0174731076776
29,Healthtex,One Size,89.7100041507324
30,Karen Kane,One Size,82.6394645001923
31,Koalapop,M,11.2132386473069
32,Avirex,XS,63.0139081315202
33,Hamilton Shirts,XXS,3.73964286909422
34,Brooks Brothers,XS,82.1323935525177
35,Merc Clothing,XXXL,66.2278939770665
36,Forever Lazy,XXXL,91.0882484806181
37,Mossimo,M,44.4734846299856
38,Tommy Hilfinger,XXXL,3.65324385913706
39,Nudie Jeans,XXL,83.8587021584896
40,Ex-Boyfriend,L,67.5285494031983
41,C&A,XS,20.9794558859335
42,TNT,XXXL,94.0938105183159
43,Mohito,XXXL,90.9822204583242
44,Forever 21,XL,6.65413415741834
45,SABA,XXS,40.5017780440402
46,Bujo,One Size,98.9142565764087
47,Bujo,S,44.254649830635
48,Baby Gap,L,24.8473642379266
49,Brooks Brothers,One Size,48.1231464474104
50,Cherokee Inc.,L,47.077974493186
51,Nudie Jeans,S,12.2445201236962
52,Lee,XXS,14.6933082522328
53,Avirex,One Size,52.8778420644243
54,EMEL Fashion,One Size,46.5776343823306
55,Old Navy,M,89.2472767560963
56,Nudie Jeans,XXXL,41.3804337332865
57,Dollie & Me,XXS,91.3757445832601
58,Acorn Stores,L,9.38291039009714
59,EMEL Fashion,M,22.7207090434249
60,Brooks Brothers,XXXL,7.03261069815262
61,Calvin Klein,XXXL,50.4951130610402
62,Ethika,S,30.8834286755339
63,Hamilton Shirts,L,65.2892020620821
64,Brooks Brothers,M,78.5800850966853
65,Columbia Sportswear,XXXL,70.7835907287819
66,Acorn Stores,XXXL,57.8181766103106
