ID,Nome,Tamanho,Valor
1,Columbia Sportswear,L,78.101693562745
2,DKNY,M,19.4309721246506
3,Calvin Klein,XXS,71.2592416984305
4,Tommy Hilfinger,One Size,6.35430569218206
5,TNT,XXS,94.3058363256538
6,Converse,S,21.488284170855
7,Ecko Unlimited,XS,68.7992201698009
8,Acorn Stores,L,86.7902415929317
9,Avirex,S,41.0283744442409
10,Mataano,XXL,85.7409615203463
11,Six Deuce,One Size,52.4027450249543
12,Andrew Marc,S,75.0489164889087
13,Real Gold,M,2.56367610886864
14,TNT,XXS,22.5269017603839
15,Baby Gap,M,14.7099165021022
16,Healthtex,S,32.2461931538983
17,Countess Mara,L,50.670509237177
18,Karen Kane,XXS,85.8237566621153
19,Lilli Ann,One Size,54.8314112037567
20,Cross Colours,XXL,45.5206033222008
21,Baby Gap,XL,52.8332880469194
22,Nice Collective,M,18.7059841904351
23,Guess,L,34.1869922621115
24,H&M,One Size,11.3720051592086
25,JNCO,M,22.1014455487493
26,Columbia Sportswear,XXS,33.2538833949966
27,Angels Jeanswear,One Size,32.3930397021552
28,Forever 21,S,64.8753371866771
29,Lee,XL,3.9961038972233
30,Cross Colours,XS,28.868487678407
31,Avirex,XXL,54.8280654776972
32,Baby Gap,XXXL,17.0967897950191
33,Acorn Stores,One Size,98.5973079361009
34,Forever Lazy,S,58.602986839415
35,Max Studio,M,41.7775097767718
36,Converse,XXL,20.7421169326371
37,Lilli Ann,XS,34.0311341281194
38,Guess,One Size,50.352803828359
39,Tommy Hilfinger,S,35.1407455970257
40,EMEL Fashion,XS,57.7372183318889
41,Tommy Hilfinger,M,29.334851777337
42,Levis,XXS,29.4855192925248
43,Andrew Marc,S,68.5997844168915
44,Bujo,XS,86.95603920657
45,Forever Lazy,XXL,58.2136902963806
46,SABA,One Size,96.9943425613429
47,Hamilton Shirts,XL,59.2328569834274
48,Tommy Hilfinger,S,7.80343080349426
49,Baby Gap,XXXL,75.7687700091716
50,Forever 21,XXL,35.1934807338721
51,Countess Mara,XXL,98.7082584582773
